Date,SPY_3M_Return,SPY_6M_Return,SPY_12M_Return,QQQ_3M_Return,IEF_3M_Return,TLT_3M_Return,GLD_3M_Return,DBC_3M_Return,Equity_Bond_3M_Spread,Commodity_Equity_3M_Spread,SPY_3M_Volatility,QQQ_3M_Volatility,Basket_3M_Volatility,SPY_TLT_3M_Correlation,SPY_Drawdown,Regime
2007-02-28,0.00843345185451172,0.08954709539582484,0.11936482938177062,-0.014922866210852481,0.0034980167180507227,-0.003992219682449782,0.03245851820307921,0.0018364513093558354,0.004935435136460997,-0.006597000545155884,0.11123295747305449,0.15329720411283376,0.10167635409800647,-0.2536463430923596,-0.0196170122829723,0
2007-03-31,0.006660099593758462,0.07319583082554937,0.11395217448452288,0.009208223035415797,0.015060609873111197,0.006196953098200009,0.0400252937184169,0.03254672964387906,-0.008400510279352735,0.025886630050120596,0.12731428968203043,0.15961557383486827,0.1196053244609716,-0.3052983731692617,-0.008255632747054875,0
2007-04-30,0.03567408365291991,0.08649109066206107,0.14878448168971947,0.04354329880353447,0.025320184366780074,0.025507916121817686,0.03486031841747317,0.06586079911239962,0.010353899286139834,0.030186715459479707,0.12829013302798306,0.14940972362667557,0.11508691566310736,-0.3728441252649729,0.0,0
2007-05-31,0.09223103770289987,0.1014423155733708,0.22463841762552694,0.0948505348915678,-0.009325229620684272,-0.031056901114451918,-0.014139626864327015,0.011899961145455329,0.10155626732358414,-0.08033107655744454,0.10238959685495651,0.12844676252329904,0.09773636011997716,-0.3161793800524721,0.0,0
2007-06-30,0.06393246793275909,0.07101836413022444,0.20359432848593784,0.09435355830409331,-0.01259410466699118,-0.024287622385681162,-0.022360834628400106,0.012608424418388386,0.07652657259975026,-0.0513240435143707,0.10648013157591515,0.11807613827001721,0.09269848491465214,0.2265626148391643,-0.014620495596374683,0
2007-07-31,-0.013095000911904076,0.0221119305830495,0.16071135869476239,0.034968732318452656,0.003603713657464036,-0.0009443257311868569,-0.019376889153727372,0.024247157749799797,-0.01669871456936811,0.03734215866170387,0.13806790890950196,0.1357512557514917,0.10664391956694218,-0.0861406361059328,-0.045473087821909175,0
2007-08-31,-0.03322406952364643,0.055942677770374205,0.15049927746920044,0.0316011144322621,0.04081895465897811,0.04100170370567535,0.01495263524335555,0.007056102495762273,-0.07404302418262454,0.0402801720194087,0.1858088504879648,0.18011985209162362,0.1360482888315671,-0.14748583715898597,-0.03322406952364643,2
2007-09-30,0.019104072571324293,0.08425791101113478,0.16362106963676926,0.08060353243986862,0.04663368334911122,0.05406093877822782,0.14376856971815166,0.093774320808373,-0.027529610777786928,0.07467024823704871,0.18530281245214064,0.185447691108002,0.1344895124766453,-0.41571891591965904,0.0,2
2007-10-31,0.06631689895829984,0.05235347819406222,0.14337267828507994,0.15839660730739547,0.03455726672598902,0.038728548102573646,0.19501446500248698,0.16456663485235046,0.03175963223231082,0.09824973589405062,0.17615952962079667,0.19709075738898288,0.1370761324189953,-0.3962762844620914,0.0,0
2007-11-30,0.012028169555105661,-0.02159552471008186,0.07765609083067626,0.05047404127294408,0.05261007909760096,0.075093843572279,0.16235723987943906,0.17983651973407455,-0.0405819095424953,0.1678083501789689,0.19156652966196513,0.23155883966995836,0.15142890258760688,-0.563065774407785,-0.038733160044342796,2
